episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
172,-0.109374,0.662476,87.6000,-0.136344,0,0.2250,0.29493
173,-0.109736,0.655804,72.0597,-0.139061,0,0.3750,0.29490
174,-0.109317,0.664785,82.3156,-0.145983,1,0.4286,0.29487
175,-0.109162,0.652606,88.4487,-0.112831,0,0.3654,0.29484
176,-0.106288,0.658133,73.1365,-0.152578,0,0.3448,0.29481
177,-0.083076,0.639534,55.5191,-0.152678,0,0.3636,0.29478
178,-0.132105,0.658462,36.6739,-0.171453,0,0.3846,0.29475
179,-0.119772,0.667995,47.1552,-0.088821,0,0.5143,0.29472
180,-0.096355,0.626057,50.2029,-0.074576,0,0.4000,0.29469
181,-0.111884,0.670179,48.3459,-0.095067,0,0.2812,0.29466
182,-0.116046,0.672503,42.5745,-0.093859,0,0.4483,0.29463
183,-0.089067,0.614083,31.8757,-0.088184,0,0.8000,0.29460
184,-0.109434,0.654392,112.2883,-0.151313,0,0.4681,0.29457
185,-0.085110,0.614456,32.0238,-0.083486,0,0.6400,0.29454
186,-0.113944,0.656589,59.7626,-0.120678,0,0.4839,0.29451
187,-0.095920,0.634245,33.4942,-0.086697,0,0.6800,0.29448
188,-0.116393,0.694685,82.1927,-0.115323,0,0.2667,0.29445
189,-0.109520,0.660231,77.5311,-0.147247,0,0.4062,0.29442
190,-0.105619,0.656036,76.6983,-0.120057,0,0.4878,0.29439
191,-0.096002,0.648041,76.5552,-0.118040,0,0.4878,0.29437
192,-0.113927,0.663314,70.5526,-0.109917,0,0.2927,0.29434
193,-0.130009,0.678770,58.2031,-0.115110,0,0.3438,0.29431
194,-0.116777,0.674172,84.2265,-0.126799,0,0.3721,0.29428
195,-0.113037,0.663263,45.2880,-0.107226,0,0.6296,0.29425
196,-0.108020,0.675655,33.8888,-0.070161,1,0.2581,0.29422
197,-0.101060,0.645440,94.1355,-0.137415,0,0.3488,0.29419
198,-0.097268,0.624084,60.3143,-0.127908,0,0.6667,0.29416
199,-0.108448,0.652533,56.6850,-0.101427,1,0.5135,0.29413
200,-0.111889,0.687052,95.8944,-0.176599,0,0.2941,0.29410
201,-0.126316,0.647984,47.8608,-0.115273,1,0.5385,0.29407
202,-0.110508,0.627056,67.4707,-0.118465,0,0.5278,0.29404
203,-0.125695,0.666276,55.1402,-0.106231,1,0.3636,0.29401
204,-0.124740,0.666083,93.7899,-0.132367,0,0.2667,0.29398
205,-0.110893,0.646691,85.7616,-0.121270,0,0.2667,0.29395
206,-0.126484,0.664545,98.5640,-0.126028,0,0.2200,0.29392
207,-0.130659,0.684247,30.6236,-0.094671,1,0.4762,0.29389
208,-0.123994,0.665331,89.4562,-0.140491,0,0.3077,0.29386
209,-0.111646,0.659909,56.0671,-0.126296,0,0.5357,0.29383
210,-0.124061,0.649404,37.3267,-0.118118,0,0.6000,0.29380
211,-0.116325,0.638225,92.5249,-0.178024,0,0.2333,0.29378
212,-0.121974,0.671482,33.9886,-0.080032,0,0.4286,0.29375
213,-0.139233,0.689786,78.2427,-0.188927,0,0.4000,0.29372
214,-0.133299,0.677312,74.8583,-0.118926,0,0.2750,0.29369
215,-0.131294,0.679105,62.6024,-0.136234,1,0.4643,0.29366
216,-0.117147,0.663924,46.2465,-0.121451,0,0.3478,0.29363
217,-0.117637,0.654256,52.5689,-0.089246,0,0.5385,0.29360
218,-0.125549,0.656447,90.0283,-0.148906,0,0.4054,0.29357
219,-0.128036,0.677823,32.7160,-0.090537,0,0.3478,0.29354
220,-0.122784,0.671576,71.6689,-0.127452,0,0.4118,0.29351
221,-0.120603,0.656474,49.1081,-0.100564,0,0.4375,0.29348
222,-0.136292,0.696277,73.5543,-0.149315,0,0.2667,0.29345
223,-0.136394,0.696812,79.6168,-0.106835,0,0.5510,0.29342
224,-0.135598,0.702200,81.8362,-0.132871,0,0.5000,0.29339
225,-0.122414,0.665258,72.4549,-0.120596,1,0.3243,0.29336
226,-0.124114,0.666534,19.8203,-0.102512,1,0.3846,0.29333
227,-0.128575,0.656233,70.7289,-0.119226,1,0.4359,0.29330
228,-0.143618,0.666304,21.9566,-0.076827,1,0.5789,0.29327
229,-0.139001,0.667869,21.3321,-0.118204,1,0.5000,0.29324
230,-0.132902,0.677067,53.1805,-0.092935,1,0.6053,0.29322
231,-0.133849,0.683391,89.9427,-0.160799,0,0.3235,0.29319
232,-0.154042,0.726552,66.6954,-0.176076,0,0.1818,0.29316
233,-0.121763,0.673725,54.0500,-0.107296,0,0.4375,0.29313
234,-0.125815,0.661435,44.2048,-0.112113,0,0.5600,0.29310
235,-0.129420,0.684734,78.5546,-0.133082,0,0.4054,0.29307
236,-0.125792,0.666556,91.3029,-0.156721,0,0.2778,0.29304
237,-0.137126,0.688050,47.6143,-0.115976,1,0.5385,0.29301
238,-0.121517,0.641544,55.1097,-0.113976,0,0.4333,0.29298
239,-0.135267,0.697264,43.7558,-0.091360,0,0.7188,0.29295
