episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
121,-0.127245,0.702604,38.8982,-0.000395,0,0.3571,0.29643
122,-0.109006,0.682639,30.6488,-0.000383,1,0.6250,0.29640
123,-0.130390,0.690409,75.7951,-0.000777,0,0.4062,0.29637
124,-0.084036,0.667455,46.4127,-0.000466,0,0.5714,0.29634
125,-0.121581,0.685058,59.8154,-0.000387,0,0.4359,0.29631
126,-0.113809,0.674878,48.7453,-0.000429,0,0.4571,0.29628
127,-0.100953,0.680636,66.4542,-0.000744,0,0.3571,0.29625
128,-0.118651,0.664463,55.0336,-0.000631,0,0.2400,0.29622
129,-0.130345,0.692525,52.3678,-0.000571,0,0.4483,0.29619
130,-0.102170,0.689904,108.7828,-0.000577,0,0.1923,0.29617
131,-0.106653,0.690570,100.2789,-0.000581,0,0.3256,0.29614
132,-0.128752,0.689391,56.9450,-0.000387,0,0.3750,0.29611
133,-0.105317,0.686419,65.5303,-0.000505,0,0.2941,0.29608
134,-0.129040,0.684582,29.4343,-0.000281,0,0.5806,0.29605
135,-0.119723,0.684286,21.3495,-0.000382,0,0.8750,0.29602
136,-0.114559,0.674504,69.7330,-0.000452,0,0.2500,0.29599
137,-0.114935,0.693703,47.2742,-0.000589,1,0.4762,0.29596
138,-0.096719,0.658505,50.8547,-0.000321,0,0.4737,0.29593
139,-0.099795,0.661547,72.8601,-0.000686,0,0.5161,0.29590
140,-0.105643,0.674316,71.4668,-0.000549,0,0.5250,0.29587
141,-0.099630,0.703844,60.0774,-0.000704,0,0.3333,0.29584
142,-0.089709,0.659754,47.8983,-0.000415,0,0.5000,0.29581
143,-0.104213,0.641455,45.1350,-0.000489,0,0.5000,0.29578
144,-0.124884,0.684058,69.3707,-0.000539,0,0.3333,0.29575
145,-0.117654,0.681253,46.6903,-0.000520,0,0.3200,0.29572
146,-0.081296,0.669136,63.2167,-0.000648,0,0.2857,0.29569
147,-0.104457,0.676531,36.3448,-0.000235,1,0.4054,0.29566
148,-0.123450,0.665487,89.6139,-0.000518,0,0.3191,0.29563
149,-0.141199,0.690550,77.2995,-0.000608,0,0.5000,0.29560
150,-0.095431,0.667888,44.1250,-0.000460,0,0.4815,0.29557
151,-0.093098,0.649448,71.0810,-0.000879,0,0.3600,0.29555
152,-0.110560,0.687506,97.1041,-0.001053,0,0.2857,0.29552
153,-0.128791,0.692900,35.6202,-0.000342,0,0.6667,0.29549
154,-0.096732,0.692312,64.7835,-0.000486,0,0.4571,0.29546
155,-0.100523,0.643352,115.5360,-0.000833,1,0.4250,0.29543
156,-0.091808,0.672631,45.3106,-0.000565,0,0.5000,0.29540
157,-0.099739,0.691008,31.5743,-0.000361,0,0.5217,0.29537
158,-0.125341,0.684230,55.8185,-0.000561,0,0.3793,0.29534
159,-0.106559,0.684448,48.1353,-0.000446,1,0.5000,0.29531
160,-0.085842,0.671190,35.4774,-0.000314,0,0.6286,0.29528
161,-0.099008,0.676565,65.9394,-0.000583,0,0.5278,0.29525
162,-0.129644,0.731296,49.0154,-0.000493,1,0.3333,0.29522
163,-0.102184,0.656930,46.6481,-0.000658,1,0.5000,0.29519
164,-0.102607,0.683193,93.8061,-0.000729,0,0.2564,0.29516
165,-0.116413,0.692433,24.0045,-0.000374,0,0.6364,0.29513
166,-0.102050,0.674930,35.1037,-0.000361,0,0.6538,0.29510
167,-0.095513,0.654392,75.9059,-0.000535,0,0.4500,0.29507
168,-0.109128,0.668363,56.7313,-0.000588,0,0.5417,0.29504
169,-0.090181,0.655682,52.5815,-0.000558,0,0.5517,0.29501
170,-0.092789,0.683858,63.0284,-0.000640,1,0.3571,0.29498
171,-0.093152,0.678135,92.8248,-0.000619,0,0.2889,0.29496
172,-0.097516,0.646220,57.7382,-0.000435,0,0.5250,0.29493
173,-0.093979,0.664066,61.0945,-0.000528,0,0.5294,0.29490
174,-0.113042,0.684649,82.2105,-0.000634,0,0.3158,0.29487
175,-0.107226,0.682856,78.1195,-0.000854,0,0.5000,0.29484
