episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
167,-0.167326,0.696173,66.3172,-0.112345,0,0.3846,0.29507
168,-0.145144,0.637969,57.8293,-0.092624,0,0.4250,0.29504
169,-0.157315,0.674881,49.0023,-0.094782,0,0.4848,0.29501
170,-0.151168,0.660704,67.9630,-0.112969,0,0.4103,0.29498
171,-0.150581,0.663945,99.5936,-0.156998,0,0.2821,0.29496
172,-0.154123,0.667675,65.6828,-0.103633,0,0.2439,0.29493
173,-0.155687,0.661634,54.7372,-0.109554,0,0.4688,0.29490
174,-0.148540,0.631655,82.0552,-0.129651,0,0.4250,0.29487
175,-0.169978,0.681965,96.6980,-0.164619,0,0.4595,0.29484
176,-0.153968,0.648334,66.6553,-0.133459,0,0.3667,0.29481
177,-0.158949,0.674023,44.7802,-0.076567,0,0.5250,0.29478
178,-0.169002,0.679084,42.0739,-0.141178,0,0.6111,0.29475
179,-0.148584,0.639776,49.9742,-0.107928,0,0.4483,0.29472
180,-0.151681,0.665174,41.1672,-0.066054,0,0.6364,0.29469
181,-0.153168,0.665723,38.7850,-0.097079,0,0.5385,0.29466
182,-0.174632,0.703669,28.2279,-0.063815,0,0.5000,0.29463
183,-0.176757,0.732979,51.1699,-0.147117,0,0.3810,0.29460
184,-0.160637,0.674566,127.9497,-0.145102,0,0.2414,0.29457
185,-0.159423,0.659555,38.8870,-0.111202,0,0.5000,0.29454
186,-0.161962,0.675422,75.3562,-0.101820,0,0.2917,0.29451
187,-0.153735,0.671889,34.7706,-0.075044,1,0.7812,0.29448
188,-0.159729,0.666230,108.9187,-0.135464,0,0.1961,0.29445
189,-0.164198,0.692718,67.9106,-0.127964,0,0.3333,0.29442
190,-0.152045,0.676644,74.8116,-0.102711,0,0.4583,0.29439
191,-0.159272,0.679179,77.1135,-0.136992,0,0.5143,0.29437
192,-0.163684,0.695162,74.8358,-0.128143,0,0.3243,0.29434
193,-0.158340,0.672722,54.7549,-0.121914,0,0.4643,0.29431
194,-0.160819,0.691468,91.9105,-0.133946,0,0.3182,0.29428
195,-0.161868,0.685500,57.7776,-0.099894,0,0.3784,0.29425
196,-0.167819,0.669479,32.2380,-0.118616,0,0.3529,0.29422
197,-0.155827,0.650735,90.4506,-0.140115,0,0.3902,0.29419
198,-0.150006,0.669255,61.3297,-0.124391,0,0.5938,0.29416
199,-0.159046,0.668528,49.7769,-0.091199,1,0.5789,0.29413
200,-0.159849,0.656389,90.0574,-0.126976,0,0.4348,0.29410
201,-0.157554,0.688733,42.1054,-0.088289,0,0.6774,0.29407
202,-0.169367,0.701864,70.8830,-0.126154,0,0.3714,0.29404
203,-0.157559,0.656176,56.0863,-0.080972,0,0.4130,0.29401
204,-0.164903,0.674581,87.4914,-0.118196,0,0.3404,0.29398
205,-0.164920,0.682214,76.4655,-0.121363,0,0.4250,0.29395
206,-0.151388,0.671724,99.9795,-0.147824,0,0.3488,0.29392
207,-0.154405,0.654319,31.0219,-0.081479,0,0.6538,0.29389
208,-0.167073,0.683634,83.2396,-0.156802,0,0.3333,0.29386
209,-0.164048,0.684683,48.2902,-0.105711,0,0.6667,0.29383
210,-0.170534,0.695304,35.1238,-0.076835,0,0.6333,0.29380
211,-0.174836,0.695541,68.7449,-0.108319,0,0.4286,0.29378
212,-0.159208,0.674452,40.7326,-0.097696,0,0.2692,0.29375
213,-0.161094,0.670344,78.4428,-0.139138,0,0.4722,0.29372
214,-0.162303,0.689809,79.4386,-0.120297,0,0.5000,0.29369
215,-0.151446,0.682978,45.9492,-0.132277,0,0.5909,0.29366
216,-0.159180,0.684394,44.6793,-0.101822,1,0.4643,0.29363
217,-0.167241,0.667255,62.2956,-0.134233,1,0.4138,0.29360
218,-0.157271,0.666417,87.0344,-0.140512,0,0.3684,0.29357
219,-0.151522,0.670255,27.8681,-0.076819,0,0.6667,0.29354
220,-0.165209,0.694862,76.8138,-0.142766,0,0.2424,0.29351
221,-0.180183,0.703337,53.8262,-0.128267,0,0.5000,0.29348
222,-0.155448,0.652743,57.0445,-0.099340,0,0.5135,0.29345
223,-0.171777,0.694939,77.0793,-0.119508,0,0.6047,0.29342
224,-0.166782,0.666848,79.8198,-0.126215,0,0.2000,0.29339
225,-0.172829,0.695288,73.9752,-0.177525,0,0.3200,0.29336
226,-0.137254,0.658096,20.0419,-0.109816,0,0.8333,0.29333
227,-0.153292,0.649979,63.1328,-0.077556,0,0.4815,0.29330
228,-0.160945,0.658669,27.5609,-0.101079,0,0.2353,0.29327
229,-0.146314,0.643230,21.7342,-0.057782,1,0.5000,0.29324
230,-0.158795,0.653114,39.7005,-0.115449,0,0.5909,0.29322
231,-0.157012,0.655652,82.8908,-0.144773,0,0.4857,0.29319
232,-0.158192,0.688535,46.7305,-0.121572,0,0.4167,0.29316
233,-0.156894,0.656419,44.9084,-0.087607,0,0.8611,0.29313
234,-0.154038,0.665453,39.1882,-0.075738,0,0.6765,0.29310
235,-0.167106,0.704948,70.1457,-0.112472,0,0.5610,0.29307
236,-0.151225,0.666338,68.8299,-0.110808,0,0.5000,0.29304
237,-0.165183,0.683527,47.2143,-0.108399,0,0.7500,0.29301
238,-0.157079,0.663997,65.4477,-0.126608,0,0.3750,0.29298
239,-0.157427,0.637683,47.9468,-0.098299,0,0.4194,0.29295
240,-0.154875,0.665436,45.5845,-0.115714,0,0.6000,0.29292
241,-0.157658,0.659791,52.3563,-0.125691,1,0.4615,0.29289
242,-0.151114,0.657944,25.5679,-0.078518,0,0.3636,0.29286
243,-0.157769,0.664396,99.1496,-0.123466,0,0.4231,0.29283
244,-0.165642,0.671845,38.0235,-0.074662,0,0.5588,0.29280
245,-0.142489,0.638635,55.0691,-0.124532,1,0.5357,0.29277
246,-0.152797,0.649643,43.3422,-0.102873,0,0.3704,0.29274
