episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
148,-0.166670,0.686926,53.4730,-0.116869,0,0.5667,0.29563
149,-0.164749,0.670172,78.7035,-0.143449,0,0.3030,0.29560
150,-0.148010,0.634043,72.1871,-0.152430,0,0.3793,0.29557
151,-0.167889,0.707487,90.1031,-0.123035,0,0.3750,0.29555
152,-0.155336,0.661230,112.0237,-0.166076,0,0.3953,0.29552
153,-0.161044,0.664635,55.2291,-0.121230,0,0.5172,0.29549
154,-0.165908,0.688245,89.9938,-0.162181,0,0.3529,0.29546
155,-0.153728,0.646281,70.1243,-0.143806,0,0.5000,0.29543
156,-0.170397,0.700127,91.6899,-0.137528,0,0.3488,0.29540
157,-0.161317,0.670474,65.5333,-0.108585,0,0.5128,0.29537
158,-0.162427,0.681758,72.3933,-0.100997,0,0.3043,0.29534
159,-0.167476,0.688393,92.9227,-0.117854,0,0.4000,0.29531
160,-0.154271,0.654916,81.5899,-0.158636,0,0.2581,0.29528
161,-0.155818,0.670208,30.6592,-0.090529,0,0.6818,0.29525
162,-0.167754,0.683740,59.7856,-0.094984,0,0.7209,0.29522
163,-0.163511,0.638468,17.4147,-0.081569,0,0.8667,0.29519
164,-0.170583,0.702152,63.7062,-0.115425,0,0.6111,0.29516
165,-0.173549,0.694125,32.3293,-0.094559,1,0.5000,0.29513
166,-0.169318,0.718287,74.6885,-0.118095,0,0.6098,0.29510
167,-0.160377,0.669526,73.0958,-0.112755,1,0.1951,0.29507
168,-0.172686,0.693881,46.3885,-0.100236,0,0.4333,0.29504
169,-0.162836,0.701673,35.8560,-0.131498,0,0.4706,0.29501
170,-0.159582,0.675475,37.3698,-0.091036,1,0.4615,0.29498
171,-0.165505,0.684374,60.6642,-0.098920,0,0.4615,0.29496
172,-0.169089,0.699222,72.4977,-0.175156,1,0.1600,0.29493
173,-0.169640,0.694135,41.0589,-0.103304,0,0.5600,0.29490
174,-0.156597,0.660094,45.9502,-0.096276,0,0.4667,0.29487
175,-0.168331,0.691141,84.8907,-0.122245,0,0.1591,0.29484
176,-0.157282,0.656012,39.4190,-0.113908,0,0.6364,0.29481
177,-0.160929,0.662090,29.1608,-0.111786,1,0.6471,0.29478
178,-0.165827,0.672135,112.0421,-0.143534,0,0.3400,0.29475
179,-0.164250,0.693557,43.7166,-0.100072,1,0.4483,0.29472
180,-0.174411,0.708507,61.3995,-0.125460,1,0.2333,0.29469
181,-0.162606,0.671280,82.0653,-0.129493,0,0.3750,0.29466
182,-0.147934,0.640987,48.4883,-0.121126,0,0.5200,0.29463
183,-0.157380,0.667744,78.3823,-0.151554,0,0.3750,0.29460
184,-0.167280,0.687105,72.6320,-0.101382,1,0.3617,0.29457
185,-0.168685,0.688751,37.5811,-0.078196,0,0.4688,0.29454
186,-0.174216,0.699679,60.3652,-0.116169,1,0.3438,0.29451
187,-0.176687,0.706707,39.9985,-0.100355,1,0.5600,0.29448
188,-0.167336,0.688163,36.4210,-0.095644,0,0.6400,0.29445
189,-0.174089,0.695557,47.9974,-0.106962,0,0.3929,0.29442
190,-0.162838,0.682083,51.7485,-0.092185,0,0.5676,0.29439
191,-0.161626,0.680026,30.5034,-0.059121,0,0.7568,0.29437
192,-0.164739,0.669576,41.7110,-0.109071,0,0.4167,0.29434
193,-0.159147,0.670749,67.9733,-0.122913,0,0.5143,0.29431
194,-0.151356,0.656309,38.5140,-0.092568,1,0.4074,0.29428
195,-0.157396,0.656592,51.1834,-0.111513,0,0.4667,0.29425
196,-0.153134,0.652376,60.6058,-0.115585,0,0.3636,0.29422
197,-0.162670,0.676990,52.1790,-0.123606,0,0.4615,0.29419
198,-0.164572,0.673918,60.1089,-0.093200,0,0.5227,0.29416
199,-0.146438,0.635784,34.2975,-0.111446,0,0.6000,0.29413
200,-0.168617,0.681912,49.8572,-0.110816,0,0.3929,0.29410
201,-0.157400,0.663038,89.3200,-0.138624,0,0.3902,0.29407
202,-0.163843,0.672089,49.2184,-0.149330,0,0.4000,0.29404
203,-0.157659,0.663714,88.6533,-0.138999,0,0.2000,0.29401
204,-0.157403,0.655890,48.2365,-0.121840,0,0.2800,0.29398
205,-0.168114,0.691652,74.2622,-0.095040,0,0.4717,0.29395
206,-0.158135,0.654731,81.7397,-0.127680,0,0.3415,0.29392
207,-0.167040,0.684827,56.1251,-0.108985,0,0.5152,0.29389
208,-0.161224,0.657915,37.8979,-0.081196,0,0.6129,0.29386
209,-0.167351,0.677761,77.1047,-0.108581,0,0.3125,0.29383
210,-0.154207,0.650504,52.8562,-0.108115,0,0.4516,0.29380
211,-0.163993,0.675301,60.8210,-0.154743,0,0.2500,0.29378
212,-0.164676,0.681241,69.5678,-0.136278,0,0.5000,0.29375
213,-0.165361,0.676265,63.9807,-0.113115,0,0.4737,0.29372
214,-0.154047,0.640099,67.2964,-0.149313,0,0.3929,0.29369
215,-0.161778,0.685107,84.5322,-0.145819,0,0.3333,0.29366
216,-0.158664,0.668673,36.9944,-0.086885,0,0.6786,0.29363
217,-0.156046,0.658302,52.8928,-0.093407,0,0.4474,0.29360
218,-0.168666,0.679177,81.4856,-0.107882,0,0.3800,0.29357
219,-0.169995,0.692866,45.1374,-0.092830,0,0.5312,0.29354
220,-0.166827,0.673281,97.2218,-0.151893,0,0.2927,0.29351
221,-0.157556,0.676602,17.8149,-0.068978,0,0.7222,0.29348
222,-0.159668,0.668172,37.1209,-0.113120,1,0.4286,0.29345
223,-0.160129,0.653209,46.9443,-0.138112,0,0.4286,0.29342
224,-0.168629,0.695501,56.1970,-0.137028,0,0.3200,0.29339
225,-0.163110,0.664989,60.4378,-0.128298,0,0.5000,0.29336
226,-0.163593,0.679952,48.7449,-0.107803,1,0.5357,0.29333
227,-0.163883,0.682674,55.4893,-0.135465,0,0.3200,0.29330
228,-0.163220,0.664366,44.8559,-0.089458,1,0.5152,0.29327
229,-0.158756,0.670817,78.3001,-0.111782,0,0.4255,0.29324
230,-0.169547,0.685825,59.9263,-0.149036,1,0.4000,0.29322
231,-0.160702,0.671958,63.1890,-0.108985,0,0.4474,0.29319
232,-0.155850,0.643961,68.7630,-0.121853,0,0.4167,0.29316
233,-0.169122,0.678766,46.4624,-0.103649,0,0.5172,0.29313
234,-0.158392,0.651553,57.5379,-0.089957,0,0.3000,0.29310
235,-0.170065,0.698085,65.7399,-0.105817,0,0.6744,0.29307
236,-0.175112,0.689228,56.1470,-0.127063,1,0.2963,0.29304
237,-0.148418,0.634612,36.7626,-0.063315,0,0.6250,0.29301
238,-0.169537,0.700860,53.1947,-0.122815,0,0.5556,0.29298
239,-0.168305,0.690370,63.9400,-0.112169,0,0.7179,0.29295
240,-0.161062,0.676697,67.4757,-0.123511,0,0.3824,0.29292
241,-0.160154,0.663054,41.9051,-0.114199,1,0.4783,0.29289
242,-0.160571,0.665258,76.8109,-0.123890,1,0.3421,0.29286
243,-0.159767,0.662593,41.3871,-0.083990,1,0.4688,0.29283
244,-0.158327,0.679037,31.7138,-0.096662,1,0.5714,0.29280
245,-0.166854,0.679220,59.2279,-0.096486,0,0.3250,0.29277
246,-0.157754,0.661381,74.9044,-0.119742,0,0.4103,0.29274
247,-0.162857,0.663788,44.8460,-0.126357,1,0.3182,0.29271
248,-0.175686,0.706702,38.2491,-0.081400,0,0.5625,0.29268
249,-0.168359,0.676759,57.1399,-0.094502,0,0.4615,0.29265
250,-0.170553,0.678646,61.9049,-0.106985,0,0.2703,0.29262
251,-0.158231,0.666135,83.5521,-0.149595,0,0.4118,0.29260
252,-0.157921,0.656850,29.7319,-0.067424,0,0.6250,0.29257
253,-0.164056,0.677237,24.9642,-0.096273,0,0.6471,0.29254
254,-0.164253,0.678590,91.6016,-0.152207,1,0.1622,0.29251
255,-0.163911,0.667938,60.8837,-0.097318,0,0.4762,0.29248
256,-0.167483,0.691752,59.4202,-0.128782,0,0.5172,0.29245
257,-0.156834,0.676540,38.0920,-0.078572,0,0.5152,0.29242
258,-0.153397,0.632965,93.1727,-0.137053,0,0.2619,0.29239
259,-0.168326,0.669986,70.4894,-0.090648,0,0.4600,0.29236
260,-0.155720,0.660976,39.6679,-0.086205,0,0.4333,0.29233
261,-0.161391,0.668761,51.1914,-0.084636,0,0.3902,0.29230
262,-0.157233,0.646677,36.4952,-0.095676,1,0.4000,0.29227
263,-0.162835,0.673195,71.9601,-0.116301,1,0.3077,0.29224
264,-0.159973,0.654172,71.5875,-0.116237,1,0.4000,0.29221
265,-0.156878,0.640448,43.9247,-0.081441,0,0.4324,0.29218
266,-0.154219,0.633540,52.8263,-0.107764,0,0.7273,0.29215
267,-0.158103,0.651063,96.8302,-0.135087,0,0.3864,0.29212
268,-0.165415,0.665105,106.6282,-0.161556,0,0.3500,0.29209
269,-0.160015,0.652571,75.9316,-0.143277,1,0.5152,0.29206
270,-0.164716,0.664312,67.1637,-0.166718,0,0.2917,0.29203
271,-0.176446,0.697289,36.0208,-0.084636,0,0.6786,0.29201
272,-0.160233,0.659460,24.0698,-0.073742,0,0.8261,0.29198
273,-0.164995,0.665715,51.7364,-0.124028,0,0.5385,0.29195
274,-0.149439,0.633105,20.1867,-0.080483,1,0.5882,0.29192
275,-0.156111,0.663800,45.0801,-0.118927,0,0.5417,0.29189
276,-0.162584,0.664923,74.2829,-0.126914,0,0.4167,0.29186
277,-0.168278,0.674562,35.2316,-0.104874,0,0.6818,0.29183
278,-0.155988,0.636978,74.3173,-0.119312,0,0.4500,0.29180
279,-0.160254,0.663537,32.0192,-0.096659,0,0.3333,0.29177
280,-0.167272,0.681386,92.8805,-0.144750,0,0.2500,0.29174
281,-0.157930,0.655811,73.1237,-0.147248,0,0.5484,0.29171
